OnePlus,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,16914,19999,4,https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNLYBHC9&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=796a462e-7a13-4b8c-b048-9f2f2ae31f8c.MOBGZJ42KHUZZKMN.SEARCH&ssid=f9ks9hkjds0000001718283520213&qH=eb4af0bf07c16429
POCO,"POCO C65 (Pastel Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,6799,10999,4,https://www.flipkart.com/poco-c65-pastel-green-128-gb/p/itm534cf85baf789?pid=MOBGXTV9GCTRG3NV&lid=LSTMOBGXTV9GCTRG3NVGJTTCT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=796a462e-7a13-4b8c-b048-9f2f2ae31f8c.MOBGXTV9GCTRG3NV.SEARCH&ssid=f9ks9hkjds0000001718283520213&qH=eb4af0bf07c16429
OnePlus,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,18949,21999,4,https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BANQ3UYB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=796a462e-7a13-4b8c-b048-9f2f2ae31f8c.MOBGZJ45PS4AQ7BA.SEARCH&ssid=f9ks9hkjds0000001718283520213&qH=eb4af0bf07c16429
Motorola,"Motorola g04s (Concord Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories,6999,9999,4,https://www.flipkart.com/motorola-g04s-concord-black-64-gb/p/itm1541ccc94a1a4?pid=MOBHY9PQGQAW2B5Y&lid=LSTMOBHY9PQGQAW2B5YBLYNQF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&iid=796a462e-7a13-4b8c-b048-9f2f2ae31f8c.MOBHY9PQGQAW2B5Y.SEARCH&ssid=f9ks9hkjds0000001718283520213&qH=eb4af0bf07c16429
Nokia,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP | 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,1199,1599,4,https://www.flipkart.com/nokia-105-single-sim-keypad-mobile-phone-wireless-fm-radio/p/itm1e2206f816463?pid=MOBGQFVG6MXANY2Q&lid=LSTMOBGQFVG6MXANY2QAZSY9G&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&iid=796a462e-7a13-4b8c-b048-9f2f2ae31f8c.MOBGQFVG6MXANY2Q.SEARCH&ssid=f9ks9hkjds0000001718283520213&qH=eb4af0bf07c16429
vivo,"vivo T3x 5G (Crimson Bliss, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,14999,18999,5,https://www.flipkart.com/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEPA4FFHCV&lid=LSTMOBGZRNEPA4FFHCVQ1YECQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&iid=796a462e-7a13-4b8c-b048-9f2f2ae31f8c.MOBGZRNEPA4FFHCV.SEARCH&ssid=f9ks9hkjds0000001718283520213&qH=eb4af0bf07c16429
vivo,"vivo T3x 5G (Celestial Green, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,16499,20499,4,https://www.flipkart.com/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZZCDPBFWUMWG&lid=LSTMOBGZZCDPBFWUMWGUSZ5RR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&iid=796a462e-7a13-4b8c-b048-9f2f2ae31f8c.MOBGZZCDPBFWUMWG.SEARCH&ssid=f9ks9hkjds0000001718283520213&qH=eb4af0bf07c16429
Nokia,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP | 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,1244,1599,4,https://www.flipkart.com/nokia-105-single-sim-keypad-mobile-phone-wireless-fm-radio/p/itm1e2206f816463?pid=MOBGQFVG9WPRN3TH&lid=LSTMOBGQFVG9WPRN3THJDG0HE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&iid=796a462e-7a13-4b8c-b048-9f2f2ae31f8c.MOBGQFVG9WPRN3TH.SEARCH&ssid=f9ks9hkjds0000001718283520213&qH=eb4af0bf07c16429
vivo,"vivo T3x 5G (Celestial Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,13499,17499,4,https://www.flipkart.com/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEHZHTGNJ5&lid=LSTMOBGZRNEHZHTGNJ5KIBQXQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&iid=796a462e-7a13-4b8c-b048-9f2f2ae31f8c.MOBGZRNEHZHTGNJ5.SEARCH&ssid=f9ks9hkjds0000001718283520213&qH=eb4af0bf07c16429
vivo,"vivo T3x 5G (Celestial Green, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,14999,18999,5,https://www.flipkart.com/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNERKDV5ECF&lid=LSTMOBGZRNERKDV5ECFN7UCZ2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&iid=796a462e-7a13-4b8c-b048-9f2f2ae31f8c.MOBGZRNERKDV5ECF.SEARCH&ssid=f9ks9hkjds0000001718283520213&qH=eb4af0bf07c16429
